num,length,end,level
1179,16,38364,DL1
1180,22,38386,DL1
1181,16,38402,DL1
1182,11,38413,DL1
1183,16,38429,DL1
1184,171,38600,DL1
1185,37,38637,DL1
1186,39,38676,DL1
1187,62,38738,DL1
1188,12,38750,DL1
1189,12,38762,DL1
1190,10,38772,DL1
1191,8,38780,DL1
1192,11,38791,DL1
1193,21,38812,DL1
1194,13,38825,DL1
1195,12,38837,DL1
1196,9,38846,DL1
1197,49,38895,DL1
1198,11,38906,DL1
1199,19,38925,DL1
1200,10,38935,DL1
1201,10,38945,DL1
1202,23,38968,DL1
1203,18,38986,DL1
1204,37,39023,DL1
1205,43,39066,DL1
1206,18,39084,DL1
1207,11,39095,DL1
1208,13,39108,DL1
1209,9,39117,DL1
1210,31,39148,DL1
1211,8,39156,DL1
1212,25,39181,DL1
1213,7,39188,DL1
1214,6,39194,DL1
1215,11,39205,DL1
1216,13,39218,DL1
1217,10,39228,DL1
1218,6,39234,DL1
1219,26,39260,DL1
1220,19,39279,DL1
1221,35,39314,DL1
1222,13,39327,DL1
1223,16,39343,DL1
1224,13,39356,DL1
1225,14,39370,DL1
1226,10,39380,DL1
1227,19,39399,DL1
1228,8,39407,DL1
1229,10,39417,DL1
1230,12,39429,DL1
1231,10,39439,DL1
1232,10,39449,DL1
1233,9,39458,DL1
1234,12,39470,DL1
1235,11,39481,DL1
1236,17,39498,DL1
1237,10,39508,DL1
1238,9,39517,DL1
1239,7,39524,DL1
1240,6,39530,DL1
1241,8,39538,DL1
1242,8,39546,DL1
1243,9,39555,DL1
